PRODUCTION NO  : PRJ8028_QFN48_TEST,,,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,,,
PACKAGE : 48QFN 12 12 12 12,,,,,,,,,,,,
VERSION : V1.0_20240418,,,,,,,,,,,,
DIE_SIZE : 2414x1415,,,,,,,,,,,,
,,,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO,,
45,RESET,99,RESET,-,T,T,-,-,-,-,,
46,TEST,100,TEST,-,T,T,-,-,-,-,,
47,GPIO14,102,GPIO14,-,T,T,-,-,-,-,,
48,GPIO15,101,GPIO15,-,T,T,-,-,-,-,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Inner_bond,,1,I0 (X.Y),I1 (X.Y),,,,,,,,
Inner_bond,,2,I2 (X.Y),(X.Y),,,,,,,,
Inner_bond,,3,(X.Y),(X.Y),,,,,,,,
Inner_bond,,4,(X.Y),(X.Y),,,,,,,,
Inner_bond,,5,(X.Y),(X.Y),,,,,,,,
Inner_bond,,6,(X.Y),(X.Y),,,,,,,,
Inner_bond,,7,(X.Y),(X.Y),,,,,,,,
Inner_bond,,8,(X.Y),(X.Y),,,,,,,,
